City,Title,Description,latitude,longitude
Amritsar,Gurudwara Bibeksar Sahib,"Bibeksar Sahib lying on the banks of Bibeksar Sarovar was constructed by Maharaja Renjith Singh. The place is famous as the congregation site of followers of 6th Sikh Guru, Hargobind Singh ji.",31.6152277,74.8815118
Amritsar,Khair-ud-Din Masjid,"Famous for its architecture, Khair-ud-Din Masjid was established by Mohd. Khairuddin. It was the place from where the great call for waging war against the looting British was announced by Tootie-e-Hind, Shah Attaullah Bukhari.",31.62854,74.87722
Amritsar,Goindwal Baoli,"Goindwal Baoli is a step-well, constructed in the 16th century by Guru Amar Das. The Baoli (open-well) is located on the banks of the River Beas and is an important Sikh centre, and is one of the first Sikh pilgrimage sites.",29.1460967,77.2556833
Amritsar,Gurudwara Bir Baba Budha Sahib,"Gurudwara Bir Baba Budha Sahib, also known as Bir Sahib, is where Baba Budha Ji spent most of his life. Baba Buddha who lived for 125 years has blessed five succeeding Gurus.",31.597043,74.846574
Amritsar,Tarn Taran Sahib,"Gurudwara Shri Tarn Taran Sahib was built by the fifth Guru of Sikhs - Guru Arjan Dev. It is located 22 kms from Amritsar. Gurudwara Shri Tarn Taran Sahib is a three-storeyed building lotus dome, damaged during the 1905 earthquake. The Gurudwara displays elegant craftwork of glass pieces and intricate designs on the ceiling and the inner walls.",31.4557446,74.9289361
Amritsar,Shri Ram Tirth Temple,"Shri Ram Tirth Temple is the birthplace of Luva - Kusha, twins of Rama and Sita in the Ashram of Saint Balmiki. Built in yellow stone the temple dates back to the Ramayana as Sita was given shelter here after being abandoned by Rama. The battle of the Ram’s force and Luv-Kush",31.676443,74.755777
Amritsar,Punjab State War Heroes Memorial and Museum,"Punjab State War Heroes Memorial and Museum showcases the fabulous brave-hearts of Punjab. The Museum immortalizes the bravery of the soldiers of Punjab, displayed throughout the museum with a spirit of patriotism.",31.6245294,74.776283
Amritsar,Pul Kanjari,"Pul Kanjari, popularly known as Amritsar’s Taj Mahal, is a village based on the vibrant expression of love by Maharaja Ranjit Singh. Constructed for Moran, a Muslim dancer, the town was one the most important trading centres during the 18th century.",31.63603,74.55765
Amritsar,Bathinda Fort,"Bathinda Fort or Qila Mubarak is an age old fortress in Bathinda. Built by Raja Dab and King Kushana, the fort is believed to be the exact place where Razia Sultan was confined.and Guru Nanak Dev, Guru Tegh Bahadur and Guru Gobind Singh visited this place. Later, Maharaja Karam Singh built a gurudwara here for the pilgrims",30.208552,74.938455
Amritsar,Gurudwara Baba Atal Rai,"Gurudwara Baba Atal Rai is a gurudwara dedicated to Baba Atal Rai, son of Guru Har Gobind Singh who passed away at the young age of nine. The 9 storey building was then built in his memory where each storey was symbolic of a year in Atal Rai’s life.",31.6172187,74.8771873
Amritsar,ISKCON Temple,"Situated in the heart of the city in Moni Chowk, ISKCON Temple (also known as Sri Gaur Radha Krishna Mandir) is a revered Hindu temple dedicated to the Hindu gods Krishna and Radha. The temple houses idols of several deities, Radha- Krishna being the most prominent. A tiny shop also sells statues of deities, religious books and related merchandise",14.4244521,79.9765435
Amritsar,Sun City,"Situated on the Batala Road in Amritsar, Sun City Water Park is one is one of the most popular and visited water parks in the city. Replete with a plethora of water rides, regular rides, aqua dancing, roller coasters, several swimming pools, the water is the ideal hangout destination among both the adults and the kids.",33.63401,-112.272751
Amritsar,Rainbow Resorts Water Park,"Situated on the Attari Border Road in Amritsar, Rainbow Resorts Water Park offers multi activities. Spread over nine acres of land area, the resort has swimming pools, adventure park, go-karting, paint ball, kitty party hall, boating, restaurant etc.",13.700673074,99.198673328
Amritsar,Thunderzone Amusement and Water Park,"Founded and opened to public in 2002, Thunderzone Amusement and Water Park is one of the largest  and most popular water cum amusement park in the city. With an array of rides like columbus, mono train, roller coaster, music bob, swinging chairs and activities like boating etc., the park is an ideal day out place for all age groups.",25.343801,55.379501
Amritsar,Bliss Aqua World,Bliss Aqua World is an amazing water park in Amritsar with a variety of regular and water rides both for adults and kids. The park also has an amusement park in the premises which has a number of fun games and activities as well.,23.668993,72.383059
Amritsar,Gurudwara Baba Deep Singh Ji,"Located in Amritsar outside the Chatiwind gate is Gurudwara Baba Shaheed Deep Singh Ji, honouring the valour and martyrdom of Baba Deep Singh Ji, which is why it is also known as the Shahidan Sahib. He was specially renowned for his contribution during 1757 when he fought the Afghani troops led by Ahmed Shah Abdali, from attacking, invading, and blowing up the Golden Temple. He fought bravely alongside thousands of others but was fatally wounded during the fight.",31.847281,74.758511
Amritsar,Gurudwara Goindwal Sahib,"Located in the Tarn Taran district of Punjab on the banks of river Beas is Gurdwara Goindwal Sahib which is another famous Sikh site. It is known as the 1st Sikh pilgrimage site and is where the 3rd Sikh Guru, Sri Guru Amar Das Ji, lived and preached for 33 years. It is also where he coined the idea of langar or community kitchen and where he built a baoli or well from where people of all caste, colour, creed and religion could drink from.",31.35928,75.138306
Rishikesh,Rafting in Rishikesh,"Rafting in Rishikesh particularly is hands down the best; one could endeavour in India. From the gifted natural circumstances to the top professional assistance, the place has just the best to offer. There are some certified operators, whose safety arrangements are well in place, and there are customised packages for camping and rafting at Rishikesh. The peak season sees Rishikesh pretty crowded, so you can keep a check over that detail when you are planning.",30.136148,78.387961
Rishikesh,Lakshman Jhula,"The Lakshman Jhula is a famous hanging bridge across the river Ganga that connects two villages, Tapovan in the Tehri Garhwal district and Jonk in the Pauri Garhwal district. Sadly, it has been closed permanently owing to the risk to the safety and security. A new glass bridge is set to come up adjacent to Lakshman Jhula. However, it is still used by pedestrians but bikes are strictly not allowed.",30.3159964,76.4045718
Rishikesh,Triveni Ghat,"Triveni Ghat is a confluence of three holy rivers of India - Ganga, Yamuna and Saraswati. One of the biggest and most famous ghats in Rishikesh, it is also one of the most revered sacred bathing spots. Triveni Ghat is where the famous Ganga Aarti takes place every evening.",30.103119,78.299805
Rishikesh,"Ganga Aarti, Rishikesh","Ganga Aarti is the most auspicious and holiest ritual performed on the ghats of Rishikesh in the evening at the time of dusk. Although the aarti is performed at several ghats, the most popular ones are performed at Parmath Niketan Ghat and Triveni Ghat. The riverbank is lit up with dainty floating diyas and the smoke of the hawans floating the skies. The chiming of the temple bells, the chanting of mantras and the overall ambience of the place is an experience of a lifetime.",30.1077,78.287804
Rishikesh,Cliff Jumping,Cliff Jumping is a popular adventure activity in Rishikesh. It primarily involves jumping from a 30-40ft high cliff in icy cold water. The most well-known cliff jumping site in Rishikesh is the lower part of Brahmapuri Stretch.,-6.18889,106.34083
Rishikesh,Camping,"Camping along the banks of Ganga is a popular thing to do in Rishikesh. Numerous camping sites are located on the banks, and beaches here serve as great locations to indulge in various sports. During the day, a lot of adventure sports are organised for the travellers.",37.8990709,-4.7855345
Rishikesh,Neelkantha Mahadeva Temple,"Neelkanth Mahadev Temple is one of the most revered Hindu sites dedicated to Lord Shiva. Located in the Pauri Garhwal region, the temple is around 7km from Swarg Ashram. It is one of the most popular Shiva temples and is visited by devotees from all over the world.",22.825265,72.204492
Rishikesh,The Beatles Ashram,"The Beatles Ashram, also known as Chaurasi Kuti, is located on a cliff in the Swarashram area of Rishikesh, 1 km from Ram Jhula. This is the ashram where The Beatles lived in 1968 and wrote dozens of songs and meditated. The ashram complex houses a former temple, library, kitchen, home of Maharishi Yogi and meditation huts. Most of the buildings are in decay but there are colourful graffiti on the walls. There is also a small gallery and a cafe.",30.111388,78.3081892
Rishikesh,Flying Fox,Flying Fox is an exciting adventure sports and top thrilling things to do in Rishikesh. You are harnessed to a rope and literally sent 'flying' on a cable. The speed is accelerated or slowed down through machinery.,-14.8561185,134.0281961
Rishikesh,Bungee Jumping in Rishikesh,"One of the top exciting adventure sports in Rishikesh is Bungee Jumping. It involves jumping off from a very tall structure (usually a building), flying freely in the air in the air before being restrained and pulled up. This activity can also be carried out from hot air balloons or helicopters.",30.1077,78.287804
Rishikesh,Tera Manzil Temple,"Trimbakeshwar Temple or Tera Manzil Temple is the thirteen storey temple situated on the banks of Ganges. Located right opposite the Lakshman Jhula, it enshrine several deities under one roof. Popular for its striking architecture, the temple also offers panoramic landscape view from the top of its 13th floor.",30.1262756,78.3308335
Rishikesh,Kaudiyala,"At 380 m high, Kaudiyala is a popular rock climbing destination surrounded by dense forests. It also offers white river rafting tracks, and the sports is organized by the camping facilities around the place.",12.5666925,76.329189
Rishikesh,Kuari Pass,"The Kuari Pass is an alpine meadow pass, attracting backpackers and trekkers from around the globe. The beautiful camping grounds of Gulling, Chitrakantha & Tali are the key attraction of the trek. The trails leading from Tali Top to Kuari Pass gives an impression of doing a full scaled Himalayan alpine expedition in truck loads of snow.",30.44805,79.56819
Rishikesh,Neer Garh Waterfall,Neer Garh Waterfall is a beautiful narrow stream of cool water cascading down a rocky terrain in the midst of a dense green forest. It requires trekking a distance of about a kilometre through the forest and down a cliff to reach the waterfall. The trail is exciting and a perfect activity to do before entering the waters for a cool soothing dip in one of its pools.,30.1341751,78.329223
Rishikesh,Geeta Bhawan,"The Geeta Bhawan is a vast and spacious ashram located on the banks of Ganga in Swargashram. It is renowned as an important institution that preserves Hindu literature since it houses the Gita, which symbolizes the Hindu Vedas and epics. The Geeta Bhawan is visited by a large number of people each year.",32.735299,74.865532
Rishikesh,"Bharat Mandir, Rishikesh","Founded by Adiguru Shankaracharya in 12th century, the Bharat Mandir is one of the most sacred and famous temples in Rishikesh. The presiding deity is Lord Vishnu carved out of a single piece of Saligram. The inner canopy of the temple contains Shree Yanthra.",32.777547,74.839511
Rishikesh,Muni ki Reti,"Muni ki Reti is a religiously important pilgrim centre near Rishikesh considered as the gateway for the pilgrimage of Char Dham. It, therefore, has a number of ashrams providing basic facilities for the pilgrims to help them on their spiritual journey.",30.119346,78.303698
Rishikesh,Jadh Ganga Trek,"The Jadh Ganga Trek is regarded as one of the most strenuous and difficult trek of north Uttarakhand. It involves traversing through Aglar valley followed by going over Nag Tibba ridge, and ultimately Nelang in Jadh Ganga. To make it more exciting, many adventurists go further towards Mana Pass and Saraswati Tal and finally terminating the trek at Badrinath Temple.",22.5092641,88.2191322
Rishikesh,Swarg Ashram,Swarg Ashram is a spiritual abode built in the memory of Swami Vishudhanand who was fondly known as Kali Kamli Wala as he was always seen wearing a black coloured blanket. The ashram is a famous yoga and meditation centre located on the banks of holy Ganga.,30.1200713,78.3138556
Rishikesh,Jumpin Heights,"Jumpin Heights is a famous extreme adventure zone in Rishikesh perfect attraction for adventure freaks seeking to get their adrenalin pumping. Bungee Jumping, Flying Fox and Giant Swing are some of the adventure activities popular here.",53.619521473,-1.851113832
Rishikesh,Rishikund,"Rishi Kund is a natural hot spring pond which is considered as a sacred water body. Locals also believe that Lord Rama had bathed in the kund during his exile and that the rivers, Ganges and Yamuna meet each other at this point.",30.103828,78.298991
Rishikesh,Ram Jhula,"An iconic landmark, Ram Jhula is a suspension bridge that runs across the sacred River Ganga connecting Shivananda Nagar to Swargashram. The bridge spans 750 feet and is a splendid work of engineering that offers a splendid bird's eye view of the mighty Ganges and the serene nature at the foothills of the Himalayas.",21.1533671,79.0889424
Rishikesh,Piran Kaliyar Sharif,"The resting place of the Sufi saint Alauddin Ali Ahmed Sabir, Piran Kaliyar Sharif is a famous dargah located in Kaliyari village near Haridwar. It is one of the most important Muslim shrines in the India.",29.9282591,78.0385249
Rishikesh,Byasi,"Located at 30 kms from Rishikesh, Byasi is a tiny village on the banks of river Ganges in Uttarakhand. The quaint little village popular for water sports and adventure tourism, river rafting and camping.",27.849878,93.562199
Rishikesh,Omkarananda Ashram,"Omkarananda Ashram is home to Patanjala Yoga Kendra yoga centre. Located in the Muni-ki-Reti area of Rishikesh, it holds a magnificent view next to the holy waters of Ganga. It follows and teaches the Iyengar Yoga which is guided by world-renowned Shri Guruji, B.K.S. Iyengar.",31.803284,77.186474
Rishikesh,Sivananda Ashram,"The Shivanand Ashram serves as the abode of Saint Swami Shivanand and is a popular religious yoga and meditation centre. Situated near the Ganges, the ashram is a beautiful and very calm place to be. The satsangs, feast and yoga sessions are well arranged, and the ashram is beautifully maintained.",23.0278941,72.5153865
Rishikesh,Kunjapuri Devi Temple,"Perched atop the Kunjapuri hill, Kunjapuri Devi temple is a revered Hindu place of worship dedicated to Goddess Parvati. Besides being one of the fifty two Shaktipeethas, the shrine is popular for its mesmerising locale which offers a beautiful panoramic view of the Shivalik range and the majestic peaks of Chaukhamba and Bandarpunch.",30.173925,78.314497
Rishikesh,"Raghunath Temple, Rishikesh","Raghunath Temple is a revered Hindu temple situated near the Triveni Ghat. Dedicated to Lord Rama and his wife Mata Sita, the shrine holds significant religious importance. The temple premises also house a tiny pond (kund) which is known as Rishikund.",34.085324,74.805412
Rishikesh,Swami Dayananda Ashram,"Situated near Purani Jhadi in Rishikesh, Swami Dayanand Ashram was established in 1960s by Swami Dayanand Saraswati. The centre facilitates yoga and meditation practices and a tiny temple in the complex is meant to offer pooja.",30.109678,78.307144
Rishikesh,Parmarth Niketan Ashram,"Parmarth Niketan is an ashram located in Rishikesh on the foothills of the Himalayas along the banks of the holy Ganges. It is visited by thousands of pilgrims all over the world to learn Yoga, Ayurveda, and Meditation. Satsang, Kirtans, Ganga Arti, Spiritual and Cultural programs and lectures are also organised here daily.",30.1224566,78.3148116
Rishikesh,Yoga Centres,"Rishikesh is a major hub of Yoga Centres in India. The serene location so close to nature, the unpolluted air, its highly religious & spiritual significance and a good number of Yoga institutes ensure a soulful and a healthy vacation away from the chaotic, fast-paced, stressful lives.",40.810573,-77.817489
Rishikesh,Spa & Wellness,Spa & Wellness centres in Rishikesh offer a variety of therapies including rejuvenation and relaxation treatments. The centres offer extensive treatments and massages with the help of traditional Ayurveda and Yoga along with other spiritual stress-relieving activities.,-34.5712236,-59.0865761
Rishikesh,Cooking Classes,Enrolling in Cooking Classes in Rishikesh is the best way to learn and master the art of Indian cuisine. Most of these classes specialise in authentic vegetarian dishes made with fresh produce sourced from the region. Some classes may also include a visit to a local family to explore their kitchen and get a gist of the traditional methods of cooking.,47.3019554,-1.6166096
Rishikesh,Vashista Gufa,"Vashishta Gufa is an ancient cave where the human son of Lord Brahma, Sage Vashishta meditated. A legend states that the sage was extremely depressed after losing all his children and decided to commit suicide, but River Ganga didn't allow him to die. He, therefore, decided to stay and meditate in the cave.",30.1150042,78.4332189
Rishikesh,Andhra Ashram,Andhra Ashram is a unique ashram managed and run by a bunch of South Indians in Rishikesh. It houses Sree Chandramouleshwara and Sree Venkateswaravari Temples and a number of south Indian festivals are celebrated here.,23.1818065,75.7703452
Rishikesh,Anand Prakash Ashram,"Anand Prakash Ashram is a perfect sanctuary for spiritual seekers that functions on holistic, non-sectarian teachings, also known as Akhanda Yoga. It provides necessary facilities, healthy environment and appropriate guidance to nourish the body and soul through Yoga.",30.130373,78.32565
Rishikesh,Madhuban Ashram,"Madhuban Ashram offers budget stay options along with a yoga centre, a health centre and a restaurant in Muni Ki Reti. The Ashram ensures the pilgrims are comfortable and have a peaceful time while they commence their spiritual journeys in the picturesque location.",27.5741373,77.6733748
Rishikesh,Himalayan Yog Ashram,"Himalayan Yog Ashram is a centre for Himalayan Yoga Training and holistic healing through Ayurveda in the midst of serene, unpolluted surroundings. Several spiritual seekers have commenced their spiritual journey through their programs and practice the routine under the expert guidance of Yogi Ram who is also the founder of the ashram.",30.132472,78.322708
Rishikesh,Nirmal Ashram,"Nirmal Ashram was founded in 1903 by Mahant Buddha Singh Ji Maharaj. It is a charitable institution and a spiritual destination perfect for those seeking a spiritual break. The ashram runs two schools, an Eye Institute and a Hospital. They also conduct regular spiritual tours and programs for the pilgrims visiting Rishikesh in the search of nirvana.",31.5232555,75.9136631
Rishikesh,Osho Ganga Ashram,"The only place to learn Osho Active Meditation in Rishikesh, Osho Ganga Ashram is a spiritual sanctuary for those seeking to nourish and tune their body, mind and soul. The ashram has workshops and extensive programs that teach stress relieving and relaxation techniques through meditation, massages, yoga and spiritual activities.",24.492251,86.705991
Rishikesh,Phool Chatti Ashram,"Phool Chatti Ashram is a century-old ashram located on the banks of the holy Ganges and surrounded by the magnificent Himalayan mountain ranges. It is located on the pilgrimage route and offers pilgrims a safe and spiritual environment to stop by. It was founded by Shree Devi Dayal Ji Maharaj, and today, has all the modern amenities to ensure the guests have a comfortable stay and a highly spiritual experience through their programs.",30.115501,78.375501
Rishikesh,Sadhaka Grama Ashram,"Sadhaka Grama Ashram is a non-profit ashram founded in 2002 by Swami Veda Bharati and it functions on the teachings of a master from the Himalayas, Swami Rama. It is the headquarters of the International Association of Himalayan Yoga and Meditation Societies. The quaint little ashram specialises in the science and art of Yoga Meditation and also conducts extensive research and publications in the domain.",20.78667,78.66679
Rishikesh,Virbhadra Temple,"Virbhadra Temple is a 1300-year-old temple dedicated to Lord Shiva in his fierce avatar which he took when his wife Goddess Sati, jumped into a burning yagya kund, to immolate herself because they were dishonoured by her father Daksha Prajapati, when he didn't invite them for the yagya. The festival of Mahashivratri, the most important one, is celebrated at the temple with great enthusiasm each year. A fair or a mela is also held at the temple on this occasion.",19.9785353,74.8211126
